id_player,first_name,last_name,common_name,avatar_url,shield_url,gender_id,height,weight,birthdate
231747,Kylian,Mbappé,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231747.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/231747.png?width=265,0,182,75,12/20/1998 12:00:00 AM
231866,Rodrigo,Hernández Cascante,Rodri,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p231866.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/231866.png?width=265,0,191,82,6/22/1996 12:00:00 AM
241667,Aitana,Bonmatí Conca,Aitana Bonmatí,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p241667.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/241667.png?width=265,1,162,53,1/18/1998 12:00:00 AM
239085,Erling,Haaland,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p239085.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/239085.png?width=265,0,195,94,7/21/2000 12:00:00 AM
252371,Jude,Bellingham,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p252371.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/252371.png?width=265,0,186,75,6/29/2003 12:00:00 AM
227203,Alexia,Putellas Segura,Alexia Putellas,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227203.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/227203.png?width=265,1,173,69,02/04/1994 00:00
238794,Vinícius José,de Oliveira Júnior,Vini Jr.,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p238794.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/238794.png?width=265,0,176,73,07/12/2000 00:00
227102,Caroline Graham,Hansen,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227102.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/227102.png?width=265,1,175,59,2/18/1995 12:00:00 AM
192985,Kevin,De Bruyne,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p192985.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/192985.png?width=265,0,181,75,6/28/1991 12:00:00 AM
227125,Sam,Kerr,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p227125.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/227125.png?width=265,1,168,66,09/10/1993 00:00
202126,Harry,Kane,,https://ratings-images-prod.pulse.ea.com/FC25/full/player-portraits/p202126.png?padding=0.7,https://ratings-images-prod.pulse.ea.com/FC25/full/player-shields/en/202126.png?width=265,0,188,86,7/28/1993 12:00:00 AM
